row,pdf_page,source_text
103,6,"4 THE PACK                              4 The Pack            Title 15, Section
PRESENTS, PS                            Entertainment         3006(c)(15)(A) – lacks
LUSCIUOS                                                      serious literary, artistic,
                                                              political or scientiﬁc
                                                              value"
104,6,"4 THE PACK                              4 The Pack            Title 15, Section
PRESENTS, PS OLDER                      Entertainment         3006(c)(15)(A) – lacks
2                                                             serious literary, artistic,
                                                              political or scientiﬁc
                                                              value"
105,6,"4 THE PACK                              4 The Pack            Title 15, Section
PRESENTS, PS                            Entertainment         3006(c)(15)(A) – lacks
RANDOM 1                                                      serious literary, artistic,
                                                              political or scientiﬁc
                                                              value"
106,6,"4 THE PACK                              4 The Pack            Title 15, Section
PRESENTS, PS ROXY                       Entertainment         3006(c)(15)(A) – lacks
                                                              serious literary, artistic,
                                                              political or scientiﬁc
                                                              value"
107,6,"4 THE PACK                              4 The Pack            Title 15, Section
PRESENTS, PS RYAN                       Entertainment         3006(c)(15)(A) – lacks
SMILES                                                        serious literary, artistic,
                                                              political or scientiﬁc
                                                              value"
108,6,"4 THE PACK                              4 The Pack            Title 15, Section"
109,6,"PRESENTS, TABANGA                       Entertainment         3006(c)(15)(A) – lacks
CO2                                                           serious literary, artistic,
                                                              political or scientiﬁc
                                                              value"
110,6,"4 THE PACK, EBONY                       4 The Pack            Title 15, Section
NUDE 1                                  Entertainment         3006(c)(17) – frontal
                                                              nudity"
111,6,"40 PLUS, ISSUE 1                        IP Publisher          Title 15, Section
                                                              3006(c)(15)(A) – lacks
                                                              serious literary, artistic,
                                                              political or scientiﬁc
                                                              value"
112,6,"40 SEX LESSONS        Jasmine C Perry   Independently         Title 15, Section
FROM ME TO YOU                          Published             3006(c)(15)(A) – lacks
(2025)                                                        serious literary, artistic,
                                                              political or scientiﬁc
                                                              value"
113,6,"40 SOMETHING                            John C. Fox, Score    Title 15, Section
MAGAZINE                                Internet Group, LLC   3006(c)(17) – frontal
                                                              nudity"
114,6,"40+ ISSUE #33                           40+ Magazine          Title 15, Section
                                                              3006(c)(17) – frontal
                                                              nudity"
115,6,"40+ MAGAZINE, #43                       Blair Publishing      Title 15, Section
                                                              3006(c)(16) – sexually
                                                                       explicit images"
116,7,"40+ VOLUME #39                               40+ Magazine              Title 15, Section
                                                                       3006(c)(16) – sexually
                                                                       explicit images"
117,7,"48 LAWS OF             Ricky St. Julien      St. Julien Publishing     Title 15, Section
HUSTLING, DON’T BE A                                                   3006(d) – presents a
STATISTIC (2017)                                                       serious threat to facility
                                                                       security or the safety of
                                                                       incarcerated"
118,7,"4TH OF JULY (2006)     James Patterson       Little, Brown and         Title 15, Section
                                             Company                   3006(c)(1) – violence
                                                                       or physical harm"
119,7,"4W17 WOMEN,                                  C&CS PO Box 653, TX       Title 15, Section
NUMBER 4, CATALOG                                                      3006(c)(15)(A) – lacks
2017                                                                   serious literary, artistic,
                                                                       political or scientiﬁc
                                                                       value"
120,7,"50 DIRTY NAUGHTY       Ava Desmond           Ava Desmond               Title 15, Section
EROTIC SHORT                                                           3006(c)(15)(A) – lacks
STORIES                                                                serious literary, artistic,
                                                                       political or scientiﬁc
                                                                       value"
121,7,"50 NIGHTS IN GRAY      Weldon Owen                                     Title 15, Section
                                                                       3006(c)(17) – frontal
                                                                       nudity"
122,7,"50+ VOLUME #68                               50+ Magazine              Title 15, Section
                                                                       3006(c)(16) – sexually
                                                                       explicit images"
123,7,"50+ VOLUME 50                                Blair Publishing          Title 15, Section
                                                                       3006(c)(17) – frontal
                                                                       nudity"
124,7,"500 FAIRY MOTIFS       Myrea Petit                                     Title 15, Section
                                                                       3006(c)(17) – frontal
                                                                       nudity"
125,7,"500 UNCENSORED SEX                           Magna Publishing          Title 15, Section
ACTS MAGAZINE                                Group                     3006(c)(17) – frontal
                                                                       nudity"
126,7,"75 CONVENTION          William Stout         Terra Nova Press          Title 15, Section
SKETCHES:VOLUME 10                                                     3006(c)(17) – frontal
                                                                       nudity"
127,7,"A BEAST WITHIN         Robert Moore          Independently             Title 15, Section
(2025)                                       Published                 3006(c)(15)(A) – lacks
                                                                       serious literary, artistic,
                                                                       political or scientiﬁc
                                                                       value"
128,7,"A BETTER SOLUTION,                           A.B.O. Comix              Title 15, Section
A.B.O. COMIX VOLUME                                                    3006(c)(15)(A) – lacks
7, A QUEER                                                             serious literary, artistic,
PRISONER’S                                                             political or scientiﬁc
ANTHOLOGY                                                              value"
129,7,"A BOOK OF FIVE RINGS   Miyamoto Musashi      Create Space              Title 15, Section
                                                                       3006(c)(15)(C)(5) –
                                                                       conduct which is or"
130,7,"A BREATH OF SNOW       Diana Gabaldon        Penguin Random            Title 15, Section
AND ASHES (2014)                             House                     3006(c)(15)(B)(3) –
                                                                       conduct which is or
                                                                       appears to be forceful,
                                                                       threatening or violent"
131,7,"A BRIDE FOR THE        James Elliot          EPS                       Title 15, Section
WHOLE FAMILY                                                           3006(c)(15)(A) – lacks
                                                                       serious literary, artistic,
                                                                       political or scientiﬁc
                                                                       value"
132,7,"A BRIEF HISTORY OF     Marlon James          Penguin Books             Title 15, Section
SEVEN KILLINGS                                                         3006(c)(15)(C)(5) –
                                                                       conduct which is or
                                                                       appears to be forceful,
                                                                       threatening or violent"
133,7,"A CHILD OF A           Shameek A. Speight    True Glory Publications   Title 15, Section
CRACKHEAD                                                              3006(c)(15)(C)(5) –
                                                                       conduct which is or
                                                                       appears to be forceful,
                                                                       threatening or violent"
134,7,"A CLASH OF KINGS       George R. R. Martin   Random House,             Title 15, Section
                                                                       3006(c)(15)(A) – lacks
                                                                       serious literary, artistic,
                                                                       political or scientiﬁc
                                                                       value"
135,7,"A CLEAN HELL,          Eric King             PM Press                  Title 15, Section
ANARCHY AND                                                            3006(d) – presents a
ABOLITION IN                                                           serious threat to facility
AMERICA’S MOST                                                       security or the safety of
NOTORIOUS DUNGEON                                                    incarcerated
(2026)"
136,8,"A COLUMN OF FIRE, A   Ken Follett           Penguin Random           Title 15, Section
NOVEL (2018)                                House                    3006(c)(15)(A) – lacks
                                                                     serious literary, artistic,
                                                                     political or scientiﬁc
                                                                     value"
137,8,"A COURT OF FROST      Sarah J. Maas         Bloomsbury Publishing,   Title 15, Section
AND STARLIGHT, A                            Inc.                     3006(c)(15)(A) – lacks
COURT OF THORNS                                                      serious literary, artistic,
AND ROSES, 4 (2020)                                                  political or scientiﬁc
                                                                     value"
138,8,"A COURT OF MIST AND   Sarah J. Maas         Bloomsbury Publishing,   Title 15, Section
FURY (2020)                                 Inc.                     3006(c)(15)(A) – lacks
                                                                     serious literary, artistic,
                                                                     political or scientiﬁc
                                                                     value"
139,8,"A COURT OF SILVER     Sarah J. Maas         Bloomsbury Publishing    Title 15, Section
FLAMES (2021)                                                        3006(c)(15)(A) – lacks
                                                                     serious literary, artistic,
                                                                     political or scientiﬁc
                                                                     value"
140,8,"A COURT OF THORNS     Sarah J. Maas         Bloomsbury Publishing,   Title 15, Section
AND ROSES (2020)                            Inc.                     3006(c)(15)(A) – lacks
                                                                     serious literary, artistic,
                                                                     political or scientiﬁc
                                                                     value"
141,8,"A COURT OF WINGS      Sarah J. Maas         Bloomsbury Publishing,   Title 15, Section
AND RUIN (2020)                             Inc.                     3006(c)(15)(A) – lacks
                                                                     serious literary, artistic,
                                                                     political or scientiﬁc
                                                                     value"
